doi,title,year,cited_by_count,in_refs_bib
10.1109/iccv.2015.339,Matrix Backpropagation for Deep Networks with Structured Layers,2015,295,
10.1088/1741-2552/aa8235,Inferring imagined speech using EEG signals: a new approach using Riemannian manifold features,2017,294,
10.1016/j.bspc.2016.09.005,Trends in EEG-BCI for daily-life: Requirements for artifact removal,2016,288,
10.1109/tcds.2019.2949306,Domain Adaptation for EEG Emotion Recognition Based on Latent Representation Similarity,2019,284,
10.1109/cvpr.2013.17,Kernel Methods on the Riemannian Manifold of Symmetric Positive Definite Matrices,2013,277,
10.1109/lsp.2009.2022557,Composite Common Spatial Pattern for Subject-to-Subject Transfer,2009,269,
10.1016/j.jneumeth.2015.08.004,Optimizing spatial patterns with sparse filter bands for motor-imagery based brain–computer interfac,2015,268,
10.1088/1741-2552/aaf3f6,Inter-subject transfer learning with an end-to-end deep convolutional neural network for EEG-based B,2018,267,
10.1109/tbme.2014.2320948,A Dynamically Optimized SSVEP Brain–Computer Interface (BCI) Speller,2014,251,
10.3390/s20072034,Investigating the Use of Pretrained Convolutional Neural Network on Cross-Subject and Cross-Dataset ,2020,249,
10.1109/tim.2021.3053999,DeprNet: A Deep Convolution Neural Network Framework for Detecting Depression Using EEG,2021,247,
10.1371/journal.pone.0002967,Towards Zero Training for Brain-Computer Interfacing,2008,246,
10.1109/tsp.2005.845428,"Covariance, subspace, and intrinsic Crame/spl acute/r-Rao bounds",2005,243,
10.1007/978-3-319-73600-6_8,Data Augmentation for EEG-Based Emotion Recognition with Deep Convolutional Neural Networks,2018,240,
10.1109/tnnls.2020.3010780,Deep Representation-Based Domain Adaptation for Nonstationary EEG Classification,2020,234,
10.1109/tnsre.2016.2611601,LMD Based Features for the Automatic Seizure Detection of EEG Signals Using SVM,2016,234,
10.1109/jproc.2015.2407272,Noninvasive Brain-Computer Interfaces Based on Sensorimotor Rhythms,2015,233,
10.1371/journal.pone.0244180,Resting state EEG biomarkers of cognitive decline associated with Alzheimer’s disease and mild cogni,2021,232,
10.1109/tbme.2018.2799661,A Brain–Computer Interface Based on Miniature-Event-Related Potentials Induced by Very Small Lateral,2018,227,
10.3390/data8060095,"A Dataset of Scalp EEG Recordings of Alzheimer’s Disease, Frontotemporal Dementia and Healthy Subjec",2023,224,
10.1111/cgf.12693,Learning class‐specific descriptors for deformable shapes using localized spectral convolutional net,2015,221,
10.1109/tsmcc.2012.2226444,A New Gaze-BCI-Driven Control of an Upper Limb Exoskeleton for Rehabilitation in Real-World Tasks,2012,217,
10.1007/978-3-642-15995-4_78,Riemannian Geometry Applied to BCI Classification,2010,215,
10.1088/1741-2560/9/2/026013,Stationary common spatial patterns for brain–computer interfacing,2012,212,
10.1109/tkde.2017.2669193,A Unified Framework for Metric Transfer Learning,2017,211,
10.1109/tbme.2018.2889705,Riemannian Procrustes Analysis: Transfer Learning for Brain–Computer Interfaces,2018,209,
10.3389/fnins.2016.00530,The Berlin Brain-Computer Interface: Progress Beyond Communication and Control,2016,209,
10.1002/alz.12311,Measures of resting state EEG rhythms for clinical trials in Alzheimer's disease: Recommendations of,2021,203,
10.1007/978-3-642-02091-9,Brain-Computer Interfaces: Revolutionizing Human-Computer Interaction,2013,197,
10.1109/tcyb.2020.2987575,Emotion Recognition From Multimodal Physiological Signals Using a Regularized Deep Fusion of Kernel ,2020,193,
10.1017/cbo9781139032803,Brain-Computer Interfacing,2013,190,
10.1007/978-3-319-10605-2_2,From Manifold to Manifold: Geometry-Aware Dimensionality Reduction for SPD Matrices,2014,185,
10.1016/j.bspc.2020.102393,DepHNN: A novel hybrid neural network for electroencephalogram (EEG)-based screening of depression,2021,184,
10.1109/tnsre.2020.2985996,Manifold Embedded Knowledge Transfer for Brain-Computer Interfaces,2020,183,
10.1109/tciaig.2012.2237173,"Two Brains, One Game: Design and Evaluation of a Multiuser BCI Video Game Based on Motor Imagery",2013,179,
10.1007/978-3-642-33709-3_16,Sparse Coding and Dictionary Learning for Symmetric Positive Definite Matrices: A Kernel Approach,2012,177,
10.1109/tnsre.2019.2923315,Weighted Transfer Learning for Improving Motor Imagery-Based Brain–Computer Interface,2019,176,
10.1088/1741-2552/aadea0,MOABB: trustworthy algorithm benchmarking for BCIs,2018,173,
10.1016/j.compbiomed.2016.10.019,Unsupervised domain adaptation techniques based on auto-encoder for non-stationary EEG-based emotion,2016,170,
10.1016/b978-0-7020-5307-8.00015-6,Resting state cortical EEG rhythms in Alzheimer's disease,2013,170,
10.1371/journal.pbio.2003787,The Cybathlon BCI race: Successful longitudinal mutual learning with two tetraplegic users,2018,164,
10.1109/tnsre.2021.3099908,A Temporal-Spectral-Based Squeeze-and- Excitation Feature Fusion Network for Motor Imagery EEG Decod,2021,164,
10.1016/j.neurobiolaging.2016.03.018,Different functional connectivity and network topology in behavioral variant of frontotemporal demen,2016,162,
10.3390/diagnostics11081437,Alzheimer’s Disease and Frontotemporal Dementia: A Robust Classification Method of EEG Signals and a,2021,152,
10.1016/j.comppsych.2013.12.019,Comparison of self-report and structured clinical interview in the identification of depression,2014,151,
10.1007/978-3-319-71246-8_45,Theoretical Analysis of Domain Adaptation with Optimal Transport,2017,143,
10.1109/taffc.2019.2934412,An Improved Empirical Mode Decomposition of Electroencephalogram Signals for Depression Detection,2019,143,
10.1016/j.asoc.2018.11.031,Classification of multiple motor imagery using deep convolutional neural networks and spatial filter,2018,141,
10.1159/000067973,Quantitative EEG Abnormalities and Cognitive Dysfunctions in Frontotemporal Dementia and Alzheimer’s,2003,139,
10.1109/jbhi.2022.3210158,Dynamic Domain Adaptation for Class-Aware Cross-Subject and Cross-Session EEG Emotion Recognition,2022,137,
10.1109/iccvw.2015.112,Geodesic Convolutional Neural Networks on Riemannian Manifolds,2015,127,
10.1109/tnsre.2021.3059166,Dynamic Joint Domain Adaptation Network for Motor Imagery Classification,2021,123,
10.1109/tnsre.2015.2403270,A Hybrid Brain–Computer Interface Based on the Fusion of P300 and SSVEP Scores,2015,120,
10.1002/ima.20283,Subject and class specific frequency bands selection for multiclass motor imagery classification,2011,117,
10.1109/taffc.2022.3199075,A Dual-Branch Dynamic Graph Convolution Based Adaptive TransFormer Feature Fusion Network for EEG Em,2022,116,
10.1109/tbme.2009.2032162,Nonstationary Brain Source Separation for Multiclass Motor Imagery,2009,114,
10.1142/s0219519412400192,CLASSIFICATION OF EEG SIGNALS IN NORMAL AND DEPRESSION CONDITIONS BY ANN USING RWE AND SIGNAL ENTROP,2012,114,
10.1109/tsp.2019.2894801,Parallel Transport on the Cone Manifold of SPD Matrices for Domain Adaptation,2019,114,
10.1109/iembs.2009.5332554,Regularized common spatial patterns with generic learning for EEG signal classification,2009,113,
10.1109/radar.2008.4720937,Innovative tools for radar signal processing Based on Cartan&amp;#x2019;s geometry of SPD matrices &,2008,110,
10.1109/tnsre.2023.3241846,Improved Domain Adaptation Network Based on Wasserstein Distance for Motor Imagery EEG Classificatio,2023,110,
10.1109/wacv.2018.00219,Synthetic to Real Adaptation with Generative Correlation Alignment Networks,2018,107,
10.1109/tcds.2021.3079712,Deep Learning in EEG: Advance of the Last Ten-Year Critical Period,2021,106,
10.1016/j.vhri.2023.09.008,Economic Burden of Alzheimer’s Disease: A Systematic Review,2023,102,
10.7551/mitpress/7503.003.0177,Logistic Regression for Single Trial EEG Classification,2007,99,
10.1109/wacv.2012.6163005,"Kernel analysis over Riemannian manifolds for visual recognition of actions, pedestrians and texture",2012,93,
10.1109/access.2019.2939288,Cross-Subject EEG Signal Recognition Using Deep Domain Adaptation Network,2019,92,
10.3390/s20123496,Recognition of EEG Signal Motor Imagery Intention Based on Deep Multi-View Feature Learning,2020,89,
10.1007/978-3-642-15552-9_28,Multi-class Classification on Riemannian Manifolds for Video Surveillance,2010,89,
10.1109/jbhi.2023.3265805,Depression Recognition From EEG Signals Using an Adaptive Channel Fusion Method via Improved Focal L,2023,85,
10.3390/computers9030072,Fusion Convolutional Neural Network for Cross-Subject EEG Motor Imagery Classification,2020,82,
10.1109/cvpr.2014.217,Learning Euclidean-to-Riemannian Metric for Point-to-Set Classification,2014,80,
10.1371/journal.pone.0114853,Evaluation of EEG Oscillatory Patterns and Cognitive Process during Simple and Compound Limb Motor I,2014,80,
10.3390/diagnostics13101779,Electroencephalography-Based Depression Detection Using Multiple Machine Learning Techniques,2023,79,
10.1109/jbhi.2019.2938247,Multimodal Depression Detection: Fusion of Electroencephalography and Paralinguistic Behaviors Using,2019,78,
10.1109/mmsp.2010.5662067,Common Spatial Pattern revisited by Riemannian geometry,2010,73,
10.1109/access.2019.2941867,Densely Feature Fusion Based on Convolutional Neural Networks for Motor Imagery EEG Classification,2019,73,
10.1109/tpami.2020.3003846,ManifoldNet: A Deep Neural Network for Manifold-Valued Data With Applications,2020,72,
10.1155/2019/5627156,Motor Imagery EEG Classification Based on Decision Tree Framework and Riemannian Geometry,2019,72,
10.1109/tnsre.2022.3221962,Exploring the Intrinsic Features of EEG Signals via Empirical Mode Decomposition for Depression Reco,2022,71,
10.1109/tpami.1982.4767298,The Use of Shrinkage Estimators in Linear Discriminant Analysis,1982,71,
10.1088/1741-2552/aac577,Defining and quantifying users’ mental imagery-based BCI skills: a first step,2018,70,
10.1109/access.2019.2947134,Multi-Attention and Incorporating Background Information Model for Chest X-Ray Image Report Generati,2019,64,
10.1155/2018/6581490,Usefulness of EEG Techniques in Distinguishing Frontotemporal Dementia from Alzheimer’s Disease and ,2018,63,
10.3389/fnins.2023.1272834,Multi-feature fusion learning for Alzheimer's disease prediction using EEG signals in resting state,2023,63,
10.1016/j.eswa.2016.10.009,A novel system for automatic removal of ocular artefacts in EEG by using outlier detection methods a,2016,62,
10.1371/journal.pone.0162657,A Fully Automated Trial Selection Method for Optimization of Motor Imagery Based Brain-Computer Inte,2016,60,
10.3389/fnagi.2023.1288295,"Diagnosis of Alzheimer’s disease via resting-state EEG: integration of spectrum, complexity, and syn",2023,57,
10.23919/eusipco.2018.8553378,Fast and Accurate Multiclass Inference for MI-BCIs Using Large Multiscale Temporal and Spectral Feat,2018,56,
10.1109/iembs.2011.6091139,"A subject-independent brain-computer interface based on smoothed, second-order baselining",2011,54,
10.1109/access.2024.3399114,Signal to Image Conversion and Convolutional Neural Networks for Physiological Signal Processing: A ,2024,51,
10.1088/1741-2552/aac313,Multiband tangent space mapping and feature selection for classification of EEG during motor imagery,2018,48,
